CSsig	SBSsig	Spearman	pVal	pAdj
CX2	SBS63	-0.03853	0.09335	0.184111333333333
CX2	SBS64	0.07641	0.0008641	0.00417648333333333
CX2	SBS65	0.03475	0.1301	0.23580625
CX2	SBS66	-0.03831	0.09523	0.184111333333333
CX2	SBS67	-0.0162	0.4807	0.619568888888889
CX2	SBS68	-0.0991	1.525e-05	8.845e-05
CX2	SBS69	0.2434	5.437e-27	3.15346e-25
CX2	SBS70	0.000733	0.9745	0.99159649122807
CX2	SBS71	0.1936	1.727e-17	3.33886666666667e-16
CX2	SBS72	-0.009151	0.6903	0.727952727272727
CX2	SBS73	0.0002375	0.9917	0.9917
CX2	SBS74	-0.01508	0.5114	0.644808695652174
CX2	SBS75	0.01983	0.388	0.548878048780488
CX2	SBS76	-0.01313	0.5675	0.6583
CX2	SBS77	-0.0387	0.09191	0.184111333333333
CX2	SBS78	-0.03831	0.09523	0.184111333333333
CX2	SBS79	-0.01351	0.5563	0.6583
CX2	SBS80	0.06233	0.006597	0.0225074117647059
CX2	SBS81	0.1276	2.416e-08	2.33546666666667e-07
CX2	SBS82	0.06117	0.00768	0.0247466666666667
CX2	SBS83	NA	NA	NA
CX3	SBS1	-0.1486	7.72e-11	4.97511111111111e-10
CX3	SBS2	-0.03126	0.1734	0.287348571428571
CX3	SBS3	0.2576	3.881e-30	1.12549e-28
CX3	SBS4	0.09887	1.595e-05	6.60785714285714e-05
CX3	SBS5	0.01102	0.6312	0.677955555555556
CX3	SBS6	0.01169	0.6109	0.677955555555556
CX3	SBS7a	0.01944	0.3973	0.480070833333333
CX3	SBS7b	0.02635	0.2513	0.35549756097561
CX3	SBS7c	0.01122	0.6251	0.677955555555556
CX3	SBS8	-0.006999	0.7606	0.785340350877193
CX3	SBS9	-0.1247	5.078e-08	2.26556923076923e-07
CX3	SBS10a	-0.03768	0.1008	0.216962962962963
CX3	SBS11	-2.118e-05	0.9993	0.9993
CX3	SBS12	-0.202	6.414e-19	7.44024e-18
CX3	SBS13	0.3268	1.761e-48	1.02138e-46
CX3	SBS14	-0.04311	0.06043	0.159315454545455
CX3	SBS15	-0.04639	0.0433	0.119590476190476
CX3	SBS16	-0.06238	0.006554	0.0200069473684211
CX3	SBS17a	-0.01115	0.6274	0.677955555555556
CX3	SBS17b	0.0979	1.932e-05	7.4704e-05
CX3	SBS18	0.03134	0.1723	0.287348571428571
CX3	SBS19	-0.1339	4.8e-09	2.32e-08
CX3	SBS21	-0.03394	0.1394	0.2526625
CX3	SBS22	0.1808	2.05e-15	1.48625e-14
CX3	SBS26	-0.02119	0.3562	0.439812765957447
CX3	SBS28	0.2062	1.133e-19	1.64285e-18
CX3	SBS30	-0.1422	4.886e-10	2.57625454545455e-09
CX3	SBS33	0.08482	0.0002159	0.0007826375
CX3	SBS35	0.03502	0.1272	0.2526625
CX3	SBS36	0.08395	0.0002507	0.000855329411764706
CX3	SBS37	0.02118	0.3564	0.439812765957447
CX3	SBS38	0.03144	0.171	0.287348571428571
CX3	SBS39	0.2328	8.975e-25	1.73516666666667e-23
CX3	SBS40	-0.1448	2.359e-10	1.36822e-09
CX3	SBS60	NA	NA	NA
CX3	SBS55	0.02818	0.2198	0.326882051282051
CX3	SBS44	-0.02399	0.2963	0.399660465116279
CX3	SBS61	-0.03766	0.1009	0.216962962962963
CX3	SBS62	-0.03768	0.1008	0.216962962962963
CX3	SBS63	-0.03033	0.1865	0.300472222222222
CX3	SBS64	-0.02935	0.2011	0.315237837837838
CX3	SBS65	0.02251	0.327	0.431045454545455
CX3	SBS66	-0.03765	0.101	0.216962962962963
CX3	SBS67	0.006662	0.7718	0.785340350877193
CX3	SBS68	-0.06113	0.007722	0.0223938
CX3	SBS69	0.1844	5.67e-16	5.481e-15
CX3	SBS70	-0.08261	0.0003147	0.00101403333333333
CX3	SBS71	0.1822	1.246e-15	1.0324e-14
CX3	SBS72	-0.02413	0.2934	0.399660465116279
CX3	SBS73	-0.009059	0.6933	0.731116363636364
CX3	SBS74	-0.02162	0.3464	0.439812765957447
CX3	SBS75	0.03413	0.1371	0.2526625
CX3	SBS76	-0.02686	0.2422	0.35119
CX3	SBS77	0.03691	0.1079	0.223507142857143
CX3	SBS78	-0.03766	0.1009	0.216962962962963
CX3	SBS79	-0.01435	0.5321	0.617236
CX3	SBS80	0.02877	0.2103	0.320984210526316
CX3	SBS81	0.03436	0.1345	0.2526625
CX3	SBS82	0.01641	0.4748	0.562008163265306
CX3	SBS83	NA	NA	NA
CX4	SBS1	-0.127	2.826e-08	8.1954e-07
CX4	SBS2	0.09017	8.357e-05	0.000969412
CX4	SBS3	0.01658	0.4704	0.593113043478261
CX4	SBS4	0.06908	0.002604	0.0167813333333333
CX4	SBS5	-0.01801	0.433	0.593113043478261
CX4	SBS6	0.06079	0.008074	0.0390243333333333
CX4	SBS7a	0.04402	0.0552	0.16008
CX4	SBS7b	0.05288	0.02124	0.0724658823529412
CX4	SBS7c	0.04235	0.06509	0.176530909090909
CX4	SBS8	-0.08806	0.0001224	0.0011832
CX4	SBS9	-0.03757	0.1018	0.246016666666667
CX4	SBS10a	-0.0168	0.4645	0.593113043478261
CX4	SBS11	0.03545	0.1226	0.253957142857143
CX4	SBS12	-0.09432	3.862e-05	0.00055999
CX4	SBS13	0.1276	2.439e-08	8.1954e-07
CX4	SBS14	-0.005349	0.8158	0.870210909090909
CX4	SBS15	-0.001991	0.9309	0.947231578947368
CX4	SBS16	0.0313	0.1729	0.334273333333333
CX4	SBS17a	0.003614	0.875	0.90625
CX4	SBS17b	0.09692	2.341e-05	0.000452593333333333
CX4	SBS18	0.03634	0.1135	0.250474074074074
CX4	SBS19	-0.03648	0.1121	0.250474074074074
CX4	SBS21	0.009132	0.6909	0.801444
CX4	SBS22	0.02401	0.2958	0.451484210526316
CX4	SBS26	0.01291	0.5742	0.693825
CX4	SBS28	0.07136	0.001867	0.01353575
CX4	SBS30	-0.0111	0.629	0.744530612244898
CX4	SBS33	0.03384	0.1406	0.2812
CX4	SBS35	-0.05659	0.01368	0.0566742857142857
CX4	SBS36	0.02909	0.2053	0.350217647058824
CX4	SBS37	-0.04657	0.04249	0.129706315789474
CX4	SBS38	0.06475	0.004774	0.0276892
CX4	SBS39	0.02664	0.246	0.407657142857143
CX4	SBS40	-0.06346	0.005682	0.0299596363636364
CX4	SBS60	NA	NA	NA
CX4	SBS55	0.03034	0.1864	0.33785
CX4	SBS44	0.006181	0.7878	0.862120754716981
CX4	SBS61	-0.01687	0.4626	0.593113043478261
CX4	SBS62	-0.0168	0.4645	0.593113043478261
CX4	SBS63	0.008075	0.7251	0.808765384615385
CX4	SBS64	-0.04206	0.06696	0.176530909090909
CX4	SBS65	0.04889	0.03318	0.106913333333333
CX4	SBS66	-0.01683	0.4636	0.593113043478261
CX4	SBS67	0.03924	0.08748	0.220601739130435
CX4	SBS68	0.00851	0.711	0.808588235294118
CX4	SBS69	0.07835	0.0006346	0.00525811428571429
CX4	SBS70	-0.03603	0.1166	0.250474074074074
CX4	SBS71	0.02954	0.1984	0.34870303030303
CX4	SBS72	-0.02127	0.3543	0.526907692307692
CX4	SBS73	-0.000918	0.9681	0.9681
CX4	SBS74	0.01518	0.5087	0.627757446808511
CX4	SBS75	0.0534	0.01998	0.0724275
CX4	SBS76	0.02428	0.2903	0.451484210526316
CX4	SBS77	0.05579	0.01506	0.058232
CX4	SBS78	-0.01687	0.4626	0.593113043478261
CX4	SBS79	0.005073	0.8252	0.870210909090909
CX4	SBS80	-0.03049	0.1842	0.33785
CX4	SBS81	0.06005	0.00888	0.0396184615384615
CX4	SBS82	-0.02565	0.264	0.425333333333333
CX4	SBS83	NA	NA	NA
CX5	SBS1	-0.007913	0.7305	0.756589285714286
CX5	SBS2	0.001243	0.9568	0.9568
CX5	SBS3	0.06072	0.00814	0.0181584615384615
