CINSignature	SVSignature	Spearman	pVal	pAdj
CX15	Rearrangement Signature5	-0.1204	0.03124	0.10052
CX15	Rearrangement Signature6	-0.005703	0.9191	0.9376
CX16	Rearrangement Signature1	0.004786	0.932	0.932
CX16	Rearrangement Signature2	0.06655	0.2351	0.35265
CX16	Rearrangement Signature3	0.07403	0.1865	0.35265
CX16	Rearrangement Signature4	-0.05514	0.3255	0.3906
CX16	Rearrangement Signature5	0.116	0.03811	0.22866
CX16	Rearrangement Signature6	-0.08565	0.1263	0.35265
CX17	Rearrangement Signature1	0.2179	8.467e-05	0.0002406
CX17	Rearrangement Signature2	-0.1073	0.05513	0.082695
CX17	Rearrangement Signature3	0.2133	0.0001203	0.0002406
CX17	Rearrangement Signature4	-0.03523	0.53	0.636
CX17	Rearrangement Signature5	0.2674	1.217e-06	7.302e-06
CX17	Rearrangement Signature6	0.0254	0.6508	0.6508
