CSsig	SBSsig	Spearman	pVal	pAdj
CX4	ID20	0.01241	0.589	0.776409090909091
CX4	ID21	0.007752	0.7357	0.888970833333333
CX4	ID22	0.003128	0.8917	0.8917
CX4	ID23	0.00318	0.8899	0.8917
CX4	ID24	0.004498	0.8447	0.8917
CX4	ID25	0.0125	0.5864	0.776409090909091
CX4	ID26	0.01262	0.5827	0.776409090909091
CX4	ID27	0.01247	0.5872	0.776409090909091
CX4	ID28	0.004666	0.839	0.8917
CX4	ID29	0.05611	0.01449	0.0326138461538462
CX4	ID30	0.01257	0.5842	0.776409090909091
CX4	ID31	-0.009557	0.6773	0.853986956521739
CX4	ID32	0.05046	0.02793	0.0498117647058824
CX5	ID1	0.1177	2.722e-07	1.12768571428571e-06
CX5	ID2	0.2173	1.005e-21	1.45725e-20
CX5	ID3	-0.0002343	0.9919	0.9919
CX5	ID4	0.1668	2.585e-13	1.874125e-12
CX5	ID5	0.01397	0.5432	0.605876923076923
CX5	ID6	0.1528	2.203e-11	1.06478333333333e-10
CX5	ID7	0.05641	0.01398	0.027028
CX5	ID8	0.01665	0.4684	0.591832
CX5	ID9	0.2476	6.548e-28	1.89892e-26
CX5	ID10	0.08048	0.0004485	0.0016258125
CX5	ID11	-0.06339	0.005731	0.0138499166666667
CX5	ID12	0.1858	3.386e-16	3.27313333333333e-15
CX5	ID13	0.06694	0.003527	0.00929845454545455
CX5	ID14	0.1629	9.479e-13	5.49782e-12
CX5	ID18	-0.0285	0.2145	0.331668421052632
CX5	ID19	0.07319	0.001418	0.00456911111111111
CX5	ID20	-0.0152	0.5082	0.591832
CX5	ID21	-0.03631	0.1138	0.2062625
CX5	ID22	-0.008736	0.7037	0.728832142857143
CX5	ID23	-0.008762	0.7028	0.728832142857143
CX5	ID24	-0.02838	0.2165	0.331668421052632
CX5	ID25	-0.01518	0.5087	0.591832
CX5	ID26	-0.01522	0.5075	0.591832
CX5	ID27	-0.01529	0.5057	0.591832
CX5	ID28	-0.02833	0.2173	0.331668421052632
CX5	ID29	0.05847	0.01084	0.0224542857142857
CX5	ID30	-0.01513	0.5102	0.591832
CX5	ID31	-0.06701	0.003494	0.00929845454545455
CX5	ID32	0.0617	0.007171	0.0159968461538462
CX6	ID1	0.008134	0.7232	0.806646153846154
CX6	ID2	-0.06134	0.007512	0.036308
CX6	ID3	0.03177	0.1665	0.472492857142857
CX6	ID4	-0.05655	0.01374	0.0569228571428572
CX6	ID5	0.0553	0.01597	0.05789125
CX6	ID6	-0.0842	0.0002404	0.00139432
CX6	ID7	0.001261	0.9562	0.9562
CX6	ID8	0.02154	0.3482	0.625675
CX6	ID9	-0.176	1.139e-14	1.65155e-13
CX6	ID10	0.09874	1.638e-05	0.000118755
CX6	ID11	0.1643	5.955e-13	5.7565e-12
CX6	ID12	-0.177	8.113e-15	1.65155e-13
CX6	ID13	-0.002979	0.8968	0.928828571428572
CX6	ID14	-0.01533	0.5043	0.696414285714286
CX6	ID18	0.02778	0.2264	0.472492857142857
CX6	ID19	-0.008518	0.7108	0.806646153846154
CX6	ID20	0.01816	0.4292	0.625675
CX6	ID21	0.02883	0.2093	0.472492857142857
CX6	ID22	0.009381	0.683	0.806646153846154
CX6	ID23	0.009526	0.6783	0.806646153846154
CX6	ID24	0.02768	0.2281	0.472492857142857
CX6	ID25	0.01807	0.4315	0.625675
CX6	ID26	0.01826	0.4265	0.625675
CX6	ID27	0.01816	0.4292	0.625675
CX6	ID28	0.0278	0.2261	0.472492857142857
CX6	ID29	0.003577	0.8762	0.928828571428572
CX6	ID30	0.01815	0.4293	0.625675
CX6	ID31	0.05306	0.02078	0.0669577777777778
CX6	ID32	-0.01374	0.5498	0.724736363636364
CX7	ID1	0.02348	0.3066	0.817536363636364
CX7	ID2	0.02148	0.3495	0.844625
CX7	ID3	-0.05369	0.01933	0.0800814285714286
