CSsig	SBSsig	Spearman	pVal	pAdj
CX8	DBS3	-0.03128	0.1859	0.398357142857143
CX8	DBS4	0.07012	0.002996	0.02247
CX8	DBS5	0.09715	3.839e-05	0.00057585
CX8	DBS7	-0.01995	0.399	0.665
CX8	DBS8	-0.05115	0.03045	0.09135
CX8	DBS11	0.06082	0.01006	0.037725
CX8	DBS12	-0.01226	0.6042	0.75525
CX8	DBS13	0.01527	0.5185	0.742772727272727
CX8	DBS14	0.002332	0.9215	0.9379
CX8	DBS15	0.02271	0.337	0.631875
CX8	DBS16	-0.06254	0.008123	0.037725
CX8	DBS17	-0.001844	0.9379	0.9379
CX8	DBS18	0.03289	0.1642	0.398357142857143
CX9	DBS1	0.02297	0.3314	0.5685
CX9	DBS2	-0.05879	0.01285	0.096375
CX9	DBS3	-0.02081	0.379	0.5685
CX9	DBS4	-0.0008999	0.9696	0.9696
CX9	DBS5	0.05492	0.02014	0.1007
CX9	DBS7	-0.03612	0.1266	0.47475
CX9	DBS8	-0.01938	0.4126	0.5685
CX9	DBS11	0.1241	1.371e-07	2.0565e-06
CX9	DBS12	0.02956	0.2112	0.5685
CX9	DBS13	0.02417	0.3068	0.5685
CX9	DBS14	0.02077	0.3798	0.5685
CX9	DBS15	0.001654	0.9443	0.9696
CX9	DBS16	-0.01501	0.5256	0.657
CX9	DBS17	-0.0192	0.4169	0.5685
CX9	DBS18	0.003613	0.8786	0.9696
CX10	DBS1	0.0372	0.1156	0.21675
CX10	DBS2	-0.05304	0.02482	0.18615
CX10	DBS3	-0.02335	0.3235	0.48525
CX10	DBS4	0.004625	0.845	0.905357142857143
CX10	DBS5	0.02464	0.2974	0.48525
CX10	DBS7	0.01179	0.6181	0.842863636363636
CX10	DBS8	-0.03818	0.1063	0.21675
CX10	DBS11	0.04079	0.0845	0.21675
CX10	DBS12	0.009723	0.681	0.85125
CX10	DBS13	0.05328	0.02419	0.18615
CX10	DBS14	0.03763	0.1115	0.21675
CX10	DBS15	0.04171	0.07767	0.21675
CX10	DBS16	-0.04116	0.08169	0.21675
CX10	DBS17	-0.004724	0.8417	0.905357142857143
CX10	DBS18	0.002303	0.9224	0.9224
CX11	DBS1	0.06011	0.01097	0.082275
CX11	DBS2	-0.01981	0.4023	0.753107142857143
CX11	DBS3	-0.00994	0.6743	0.753107142857143
CX11	DBS4	-0.07309	0.001972	0.02958
CX11	DBS5	0.00902	0.7029	0.753107142857143
CX11	DBS7	-0.03427	0.1472	0.368
CX11	DBS8	-0.003092	0.896	0.896
CX11	DBS11	0.04309	0.06834	0.256275
CX11	DBS12	0.01417	0.5492	0.753107142857143
CX11	DBS13	0.03746	0.1131	0.3393
CX11	DBS14	0.05068	0.03201	0.16005
CX11	DBS15	0.02347	0.321	0.687857142857143
CX11	DBS16	0.01388	0.5573	0.753107142857143
CX11	DBS17	0.01093	0.644	0.753107142857143
CX11	DBS18	0.01753	0.4586	0.753107142857143
CX12	DBS1	0.00224	0.9246	0.9246
CX12	DBS2	-0.008481	0.7199	0.9246
CX12	DBS3	-0.03274	0.1662	0.62325
CX12	DBS4	-0.008241	0.7275	0.9246
CX12	DBS5	0.004655	0.844	0.9246
CX12	DBS7	0.05001	0.03437	0.257775
CX12	DBS8	0.02146	0.3642	0.9105
CX12	DBS11	0.04245	0.07256	0.3628
CX12	DBS12	-0.004318	0.8551	0.9246
CX12	DBS13	-0.008416	0.722	0.9246
CX12	DBS14	-0.02871	0.2247	0.6741
CX12	DBS15	0.009765	0.6797	0.9246
CX12	DBS16	0.01114	0.6377	0.9246
CX12	DBS17	0.003877	0.8698	0.9246
CX12	DBS18	0.07985	0.0007211	0.0108165
CX13	DBS1	-0.01469	0.5345	0.80175
CX13	DBS2	-0.03011	0.2029	0.50725
CX13	DBS3	-0.0249	0.2924	0.54825
CX13	DBS4	-0.01039	0.6604	0.8255
CX13	DBS5	0.03321	0.1601	0.4803
CX13	DBS7	-0.03923	0.09704	0.3639
CX13	DBS8	-0.04071	0.08506	0.3639
CX13	DBS11	0.1679	8.606e-13	1.2909e-11
CX13	DBS12	0.02015	0.3942	0.657
CX13	DBS13	-0.002419	0.9185	0.9185
CX13	DBS14	-0.005195	0.8262	0.885214285714286
CX13	DBS15	-0.006604	0.7801	0.885214285714286
CX13	DBS16	-0.05586	0.0181	0.13575
CX13	DBS17	-0.02696	0.2543	0.544928571428571
CX13	DBS18	-0.01091	0.6445	0.8255
CX14	DBS1	0.01507	0.524	0.738
CX14	DBS2	-0.0394	0.09566	0.381375
CX14	DBS3	0.01577	0.505	0.738
CX14	DBS4	-0.007352	0.7559	0.809892857142857
CX14	DBS5	-0.06791	0.004049	0.060735
CX14	DBS7	0.01108	0.6396	0.738
CX14	DBS8	0.003617	0.8785	0.8785
CX14	DBS11	-0.0387	0.1017	0.381375
CX14	DBS12	0.01232	0.6025	0.738
CX14	DBS13	0.02628	0.2664	0.570857142857143
CX14	DBS14	0.01839	0.4368	0.738
CX14	DBS15	0.02792	0.2378	0.570857142857143
CX14	DBS16	-0.02722	0.2496	0.570857142857143
CX14	DBS17	-0.01407	0.552	0.738
CX14	DBS18	-0.05408	0.02213	0.165975
CX15	DBS1	0.003347	0.8875	0.9115
CX15	DBS2	0.0104	0.66	0.9115
CX15	DBS3	0.008542	0.718	0.9115
CX15	DBS4	-0.03706	0.117	0.588
CX15	DBS5	0.004784	0.8397	0.9115
CX15	DBS7	-0.01217	0.6069	0.9115
CX15	DBS8	0.002629	0.9115	0.9115
CX15	DBS11	-0.04623	0.05049	0.588
CX15	DBS12	-0.01562	0.509	0.9115
CX15	DBS13	0.03348	0.1568	0.588
CX15	DBS14	0.02556	0.2797	0.69925
CX15	DBS15	0.02879	0.2235	0.6705
CX15	DBS16	-0.03468	0.1424	0.588
CX15	DBS17	0.004907	0.8357	0.9115
CX15	DBS18	-0.014	0.554	0.9115
CX16	DBS1	-0.03369	0.1542	0.40525
CX16	DBS2	0.007355	0.7558	0.872076923076923
CX16	DBS3	-0.02021	0.3927	0.58905
CX16	DBS4	0.00111	0.9626	0.9626
CX16	DBS5	0.07194	0.002323	0.034845
CX16	DBS7	0.02615	0.2688	0.448
CX16	DBS8	-0.03306	0.1621	0.40525
CX16	DBS11	0.001435	0.9516	0.9626
CX16	DBS12	0.02874	0.2242	0.420375
CX16	DBS13	-0.01784	0.4507	0.614590909090909
CX16	DBS14	-0.02975	0.2084	0.420375
CX16	DBS15	-0.009966	0.6735	0.841875
CX16	DBS16	-0.04535	0.05505	0.2064375
CX16	DBS17	-0.06131	0.009468	0.06945
CX16	DBS18	0.05814	0.01389	0.06945
CX17	DBS1	-0.05446	0.02121	0.07915
CX17	DBS2	0.01018	0.6668	0.714428571428571
CX17	DBS3	-0.02255	0.3403	0.464045454545454
CX17	DBS4	0.06729	0.004396	0.03297
CX17	DBS5	0.04497	0.05713	0.122421428571429
CX17	DBS7	0.07744	0.001042	0.01563
CX17	DBS8	-0.01992	0.3996	0.4995
CX17	DBS11	0.05848	0.01333	0.06665
CX17	DBS12	-0.0177	0.4543	0.524192307692308
CX17	DBS13	-0.05079	0.03166	0.07915
CX17	DBS14	-0.05093	0.03118	0.07915
CX17	DBS15	-0.03061	0.1955	0.325833333333333
CX17	DBS16	-0.02667	0.2594	0.3891
CX17	DBS17	-0.03966	0.09348	0.175275
CX17	DBS18	-0.001537	0.9482	0.9482
