Sig	Driver	Estimate	StdError	t	pVal	pAdj	Significant
CX1	IDH1	-0.0982033585885893	-0.0982033585885893	-1.45660797633845	0.145274451962279	0.15197942666823	FALSE
CX1	CDKN2C	0.238322530549454	0.238322530549454	0.993271111318878	0.320615993040888	0.330331629193642	FALSE
CX1	SOX9	0.258397897683128	0.258397897683128	2.24639176083095	0.0247134196569994	0.0275493858471469	TRUE
CX1	CIC	0.214078298829434	0.214078298829434	2.52002587861761	0.0117591321854016	0.0133270164767885	TRUE
CX1	PBRM1	0.0593066398467809	0.0593066398467809	0.745930861837555	0.455737007448276	0.462539052335564	FALSE
CX1	VHL	-0.0507685617980765	-0.0507685617980765	-0.409487680653592	0.682195724880865	0.682195724880865	FALSE
CX1	RPL22	0.7772087566531	0.7772087566531	4.49109319507329	7.2122217083977e-06	1.02173140868967e-05	TRUE
CX2	BRCA1	0.268088364395046	0.268088364395046	2.76521387328343	0.00570510374812453	0.00657537381139776	TRUE
CX3	SOS1	0.30336537363112	0.30336537363112	3.82708147276736	0.000130926877350355	0.000161873230178621	TRUE
CX3	NFE2L2	0.10453336346785	0.10453336346785	1.65895579192782	0.0971744699669773	0.104886729488166	FALSE
CX3	ERCC2	0.288540545529838	0.288540545529838	3.88339705303718	0.000104061006984811	0.000136079778364753	TRUE
CX3	MAPK1	0.300850823279961	0.300850823279961	3.71897428593997	0.000201771240268892	0.000245007934612226	TRUE
CX3	PIK3R2	0.168718456166943	0.168718456166943	2.06476861205946	0.038985720152868	0.0427585317805649	TRUE
CX3	PPP2R1A	0.226587174474187	0.226587174474187	3.31659655348945	0.000916369144726598	0.00107436382485187	TRUE
CX3	PMS1	0.416883285177512	0.416883285177512	5.520268648456	3.51981009465497e-08	7.25294201322842e-08	TRUE
CX3	PCBP1	0.303435242233188	0.303435242233188	4.06191371107867	4.92627570976761e-05	6.56836761302348e-05	TRUE
CX3	MYC	0.288402134464332	0.288402134464332	5.3944446295388	7.12388612829071e-08	1.42477722565814e-07	TRUE
CX3	U2AF1	0.403830750372018	0.403830750372018	4.57272677938675	4.90621189394837e-06	7.25266106061933e-06	TRUE
CX3	TP53	0.335961610169735	0.335961610169735	13.327337642262	5.56119971046117e-40	9.45403950778399e-39	TRUE
CX3	BRCA2	0.244313451610791	0.244313451610791	3.3972817938387	0.000684801223616902	0.000816955845718409	TRUE
CX3	BRCA1	0.545574219144373	0.545574219144373	6.30960319594082	2.9875954625148e-10	7.81371120965409e-10	TRUE
CX4	ERCC2	0.414193461163408	0.414193461163408	4.81747289759998	1.48789352762443e-06	2.50601436953511e-06	TRUE
CX4	MAPK1	0.450625769280631	0.450625769280631	4.81438754908094	1.5109792522197e-06	2.50601436953511e-06	TRUE
CX4	AKT1	0.5744514286191	0.5744514286191	6.38969269761926	1.78102412440221e-10	4.84438561837401e-10	TRUE
CX4	PIK3R2	0.792009316226355	0.792009316226355	8.41493525328399	4.81599951737158e-17	4.09359958976584e-16	TRUE
CX4	PPP2R1A	0.409390025052416	0.409390025052416	5.1816852527524	2.26726725719586e-07	4.16686955376536e-07	TRUE
CX4	IDH2	0.583158795349887	0.583158795349887	5.2451620662668	1.61237185591813e-07	3.04559128340091e-07	TRUE
CX4	PCBP1	0.641557026731821	0.641557026731821	7.43983218019011	1.14258022880732e-13	5.17969703725985e-13	TRUE
CX4	CDK4	0.344238063721023	0.344238063721023	4.80243929200196	1.60367314533336e-06	2.59642318768258e-06	TRUE
CX4	U2AF1	0.468000496574516	0.468000496574516	4.57673003852915	4.81360043225295e-06	7.25266106061933e-06	TRUE
CX5	ERBB2	0.341372572482803	0.341372572482803	6.24856025853734	4.41320058114168e-10	1.10413485055181e-09	TRUE
CX5	MAPK1	0.406830509408139	0.406830509408139	4.52354434153415	6.19276247756442e-06	8.95974145690172e-06	TRUE
CX5	PIK3R2	0.486517953466184	0.486517953466184	5.36309160041484	8.47210394957216e-08	1.64600876734545e-07	TRUE
CX5	PPP2R1A	0.381073453963639	0.381073453963639	5.02018252251687	5.3040465235042e-07	9.24808111790476e-07	TRUE
CX5	PMS1	0.6075853114645	0.6075853114645	7.2455691557005	4.82076719791802e-13	1.92830687916721e-12	TRUE
CX5	PCBP1	0.605367176335254	0.605367176335254	7.30656381247629	3.07962205781465e-13	1.30883937457123e-12	TRUE
CX5	CDK4	0.606628657182295	0.606628657182295	8.84804854801884	1.14052772852402e-18	1.10794122199476e-17	TRUE
CX5	U2AF1	0.651344367352395	0.651344367352395	6.64275069082997	3.33642152339587e-11	9.86420276482257e-11	TRUE
CX5	BRCA1	0.372992232961648	0.372992232961648	3.87044961318184	0.000109732263251883	0.000138181368539408	TRUE
CX6	CUL1	0.458561084515835	0.458561084515835	7.60241987394483	3.33073039269963e-14	1.81732238795634e-13	TRUE
CX6	H3F3A	0.467027233921213	0.467027233921213	6.80342776056834	1.11580235425914e-11	3.44884364043734e-11	TRUE
CX6	RAC1	0.397717438067161	0.397717438067161	6.04039167221399	1.62509603910406e-09	3.81057002272676e-09	TRUE
CX6	PSMA4	1.33633736945038	1.33633736945038	3.87251409994253	0.000108808838762819	0.000138181368539408	TRUE
CX8	ERBB3	0.38400790126179	0.38400790126179	4.63573358293873	3.62842736617129e-06	5.73797816045692e-06	TRUE
CX8	ERCC2	0.593890167124591	0.593890167124591	6.9040701223833	5.54822085611325e-12	1.7965667534081e-11	TRUE
CX8	MAPK1	0.402868508914003	0.402868508914003	4.29209987743391	1.79643039689003e-05	2.44314533977044e-05	TRUE
