Old	New	ReactomePathway
KDM4B	KDM4B	Chromatin-Organisation
KDM4C	KDM4C	Chromatin-Organisation
KDM4D	KDM4D	Chromatin-Organisation
KDM5A	KDM5A	Chromatin-Organisation
KDM5B	KDM5B	Chromatin-Organisation
KDM5C	KDM5C	Chromatin-Organisation
KDM5D	KDM5D	Chromatin-Organisation
KDM6A	KDM6A	Chromatin-Organisation
KDM6B	KDM6B	Chromatin-Organisation
KDM7A	KDM7A	Chromatin-Organisation
KMT2A	KMT2A	Chromatin-Organisation
KMT2B	KMT2B	Chromatin-Organisation
KMT2C	KMT2C	Chromatin-Organisation
KMT2D	KMT2D	Chromatin-Organisation
KMT2E	KMT2E	Chromatin-Organisation
KMT5B	SUV420H1	Chromatin-Organisation
KMT5C	SUV420H2	Chromatin-Organisation
MBD3	MBD3	Chromatin-Organisation
MBIP	MBIP	Chromatin-Organisation
MCRS1	MCRS1	Chromatin-Organisation
MEAF6	MEAF6	Chromatin-Organisation
MECOM	MECOM	Chromatin-Organisation
MORF4L1	MORF4L1	Chromatin-Organisation
MORF4L2	MORF4L2	Chromatin-Organisation
MRGBP	MRGBP	Chromatin-Organisation
MSL1	MSL1	Chromatin-Organisation
MSL2	MSL2	Chromatin-Organisation
MSL3	MSL3	Chromatin-Organisation
MTA1	MTA1	Chromatin-Organisation
MTA2	MTA2	Chromatin-Organisation
MTA3	MTA3	Chromatin-Organisation
NCOA1	NCOA1	Chromatin-Organisation
NCOA2	NCOA2	Chromatin-Organisation
NCOR1	NCOR1	Chromatin-Organisation
NCOR2	NCOR2	Chromatin-Organisation
NFKB1	NFKB1	Chromatin-Organisation
NFKB2	NFKB2	Chromatin-Organisation
NSD1	NSD1	Chromatin-Organisation
NSD3	WHSC1L1	Chromatin-Organisation
OGT	OGT	Chromatin-Organisation
PADI1	PADI1	Chromatin-Organisation
PADI2	PADI2	Chromatin-Organisation
PADI3	PADI3	Chromatin-Organisation
PADI4	PADI4	Chromatin-Organisation
PADI6	PADI6	Chromatin-Organisation
PAX3	PAX3	Chromatin-Organisation
PBRM1	PBRM1	Chromatin-Organisation
PHF2	PHF2	Chromatin-Organisation
PHF20	PHF20	Chromatin-Organisation
PHF21A	PHF21A	Chromatin-Organisation
PHF8	PHF8	Chromatin-Organisation
PRDM16	PRDM16	Chromatin-Organisation
PRDM9	PRDM9	Chromatin-Organisation
PRMT1	PRMT1	Chromatin-Organisation
PRMT3	PRMT3	Chromatin-Organisation
PRMT5	PRMT5	Chromatin-Organisation
PRMT6	PRMT6	Chromatin-Organisation
PRMT7	PRMT7	Chromatin-Organisation
RBBP4	RBBP4	Chromatin-Organisation
RBBP5	RBBP5	Chromatin-Organisation
RBBP7	RBBP7	Chromatin-Organisation
RCOR1	RCOR1	Chromatin-Organisation
RELA	RELA	Chromatin-Organisation
REST	REST	Chromatin-Organisation
RIOX2	MINA	Chromatin-Organisation
RPS2	RPS2	Chromatin-Organisation
RUVBL1	RUVBL1	Chromatin-Organisation
RUVBL2	RUVBL2	Chromatin-Organisation
SAP130	SAP130	Chromatin-Organisation
SAP18	SAP18	Chromatin-Organisation
SAP30	SAP30	Chromatin-Organisation
SAP30L	SAP30L	Chromatin-Organisation
SETD1A	SETD1A	Chromatin-Organisation
SETD1B	SETD1B	Chromatin-Organisation
SETD2	SETD2	Chromatin-Organisation
SETD3	SETD3	Chromatin-Organisation
SETD6	SETD6	Chromatin-Organisation
SETD7	SETD7	Chromatin-Organisation
SETDB1	SETDB1	Chromatin-Organisation
SETDB2	SETDB2	Chromatin-Organisation
SGF29	CCDC101	Chromatin-Organisation
SMARCA2	SMARCA2	Chromatin-Organisation
SMARCA4	SMARCA4	Chromatin-Organisation
SMARCB1	SMARCB1	Chromatin-Organisation
SMARCC1	SMARCC1	Chromatin-Organisation
SMARCC2	SMARCC2	Chromatin-Organisation
SMARCD1	SMARCD1	Chromatin-Organisation
SMARCD2	SMARCD2	Chromatin-Organisation
SMARCD3	SMARCD3	Chromatin-Organisation
SMARCE1	SMARCE1	Chromatin-Organisation
SMYD2	SMYD2	Chromatin-Organisation
SMYD3	SMYD3	Chromatin-Organisation
SUDS3	SUDS3	Chromatin-Organisation
SUPT20H	SUPT20H	Chromatin-Organisation
SUPT3H	SUPT3H	Chromatin-Organisation
SUPT7L	SUPT7L	Chromatin-Organisation
SUV39H1	SUV39H1	Chromatin-Organisation
SUV39H2	SUV39H2	Chromatin-Organisation
SUZ12	SUZ12	Chromatin-Organisation
TADA1	TADA1	Chromatin-Organisation
TADA2A	TADA2A	Chromatin-Organisation
TADA2B	TADA2B	Chromatin-Organisation
TADA3	TADA3	Chromatin-Organisation
TAF10	TAF10	Chromatin-Organisation
TAF12	TAF12	Chromatin-Organisation
TAF5L	TAF5L	Chromatin-Organisation
TAF6L	TAF6L	Chromatin-Organisation
TAF9	TAF9	Chromatin-Organisation
TBL1X	TBL1X	Chromatin-Organisation
TBL1XR1	TBL1XR1	Chromatin-Organisation
TRRAP	TRRAP	Chromatin-Organisation
USP22	USP22	Chromatin-Organisation
UTY	UTY	Chromatin-Organisation
VPS72	VPS72	Chromatin-Organisation
WDR5	WDR5	Chromatin-Organisation
WDR77	WDR77	Chromatin-Organisation
YEATS2	YEATS2	Chromatin-Organisation
YEATS4	YEATS4	Chromatin-Organisation
ZZZ3	ZZZ3	Chromatin-Organisation
ABL1	ABL1	DNA-Repair
ACD	ACD	DNA-Repair
ACTB	ACTB	DNA-Repair
ACTL6A	ACTL6A	DNA-Repair
ACTR5	ACTR5	DNA-Repair
ACTR8	ACTR8	DNA-Repair
ADPRHL2	ADPRHL2	DNA-Repair
ALKBH2	ALKBH2	DNA-Repair
ALKBH3	ALKBH3	DNA-Repair
ALKBH5	ALKBH5	DNA-Repair
APBB1	APBB1	DNA-Repair
APEX1	APEX1	DNA-Repair
AQR	AQR	DNA-Repair
ASCC1	ASCC1	DNA-Repair
ASCC2	ASCC2	DNA-Repair
ASCC3	ASCC3	DNA-Repair
ATM	ATM	DNA-Repair
ATR	ATR	DNA-Repair
ATRIP	ATRIP	DNA-Repair
BABAM1	BABAM1	DNA-Repair
BAP1	BAP1	DNA-Repair
BARD1	BARD1	DNA-Repair
BAZ1B	BAZ1B	DNA-Repair
BLM	BLM	DNA-Repair
BRCA1	BRCA1	DNA-Repair
BRCA2	BRCA2	DNA-Repair
BRCC3	BRCC3	DNA-Repair
BRIP1	BRIP1	DNA-Repair
CCNA1	CCNA1	DNA-Repair
CCNA2	CCNA2	DNA-Repair
CCNH	CCNH	DNA-Repair
CDK2	CDK2	DNA-Repair
CDK7	CDK7	DNA-Repair
CETN2	CETN2	DNA-Repair
CHD1L	CHD1L	DNA-Repair
CHEK1	CHEK1	DNA-Repair
CHEK2	CHEK2	DNA-Repair
CLSPN	CLSPN	DNA-Repair
COPS2	COPS2	DNA-Repair
COPS3	COPS3	DNA-Repair
COPS4	COPS4	DNA-Repair
COPS5	COPS5	DNA-Repair
COPS6	COPS6	DNA-Repair
COPS7A	COPS7A	DNA-Repair
COPS7B	COPS7B	DNA-Repair
COPS8	COPS8	DNA-Repair
CUL4A	CUL4A	DNA-Repair
CUL4B	CUL4B	DNA-Repair
DCLRE1A	DCLRE1A	DNA-Repair
DCLRE1B	DCLRE1B	DNA-Repair
DCLRE1C	DCLRE1C	DNA-Repair
DDB1	DDB1	DNA-Repair
DDB2	DDB2	DNA-Repair
DNA2	DNA2	DNA-Repair
DTL	DTL	DNA-Repair
ELL	ELL	DNA-Repair
EME1	EME1	DNA-Repair
EME2	EME2	DNA-Repair
EP300	EP300	DNA-Repair
ERCC1	ERCC1	DNA-Repair
ERCC2	ERCC2	DNA-Repair
ERCC3	ERCC3	DNA-Repair
ERCC4	ERCC4	DNA-Repair
ERCC5	ERCC5	DNA-Repair
ERCC6	ERCC6	DNA-Repair
ERCC8	ERCC8	DNA-Repair
EXO1	EXO1	DNA-Repair
EYA1	EYA1	DNA-Repair
EYA2	EYA2	DNA-Repair
EYA3	EYA3	DNA-Repair
EYA4	EYA4	DNA-Repair
FAAP100	C17orf70	DNA-Repair
FAAP20	C1orf86	DNA-Repair
FAAP24	C19orf40	DNA-Repair
FAN1	FAN1	DNA-Repair
FANCA	FANCA	DNA-Repair
FANCB	FANCB	DNA-Repair
FANCC	FANCC	DNA-Repair
FANCD2	FANCD2	DNA-Repair
FANCE	FANCE	DNA-Repair
FANCF	FANCF	DNA-Repair
FANCG	FANCG	DNA-Repair
FANCI	FANCI	DNA-Repair
FANCL	FANCL	DNA-Repair
FANCM	FANCM	DNA-Repair
FEN1	FEN1	DNA-Repair
FTO	FTO	DNA-Repair
GEN1	GEN1	DNA-Repair
GPS1	GPS1	DNA-Repair
GTF2H1	GTF2H1	DNA-Repair
GTF2H2	GTF2H2	DNA-Repair
GTF2H3	GTF2H3	DNA-Repair
GTF2H4	GTF2H4	DNA-Repair
GTF2H5	GTF2H5	DNA-Repair
H2AFB1	H2AFB1	DNA-Repair
H2AFJ	H2AFJ	DNA-Repair
H2AFV	H2AFV	DNA-Repair
H2AFX	H2AFX	DNA-Repair
H2AFZ	H2AFZ	DNA-Repair
H2BFS	H2BFS	DNA-Repair
HERC2	HERC2	DNA-Repair
HIST1H2AB	HIST1H2AB	DNA-Repair
HIST1H2AC	HIST1H2AC	DNA-Repair
HIST1H2AD	HIST1H2AD	DNA-Repair
HIST1H2AJ	HIST1H2AJ	DNA-Repair
HIST1H2BA	HIST1H2BA	DNA-Repair
HIST1H2BB	HIST1H2BB	DNA-Repair
HIST1H2BD	HIST1H2BD	DNA-Repair
HIST1H2BH	HIST1H2BH	DNA-Repair
HIST1H2BJ	HIST1H2BJ	DNA-Repair
HIST1H2BK	HIST1H2BK	DNA-Repair
HIST1H2BL	HIST1H2BL	DNA-Repair
HIST1H2BM	HIST1H2BM	DNA-Repair
HIST1H2BN	HIST1H2BN	DNA-Repair
HIST1H2BO	HIST1H2BO	DNA-Repair
HIST2H2AA3	HIST2H2AA3	DNA-Repair
HIST2H2AC	HIST2H2AC	DNA-Repair
HIST2H2BE	HIST2H2BE	DNA-Repair
HIST3H2BB	HIST3H2BB	DNA-Repair
HIST3H3	HIST3H3	DNA-Repair
HMGN1	HMGN1	DNA-Repair
HUS1	HUS1	DNA-Repair
INO80	INO80	DNA-Repair
INO80B	INO80B	DNA-Repair
INO80C	INO80C	DNA-Repair
INO80D	INO80D	DNA-Repair
INO80E	INO80E	DNA-Repair
ISG15	ISG15	DNA-Repair
ISY1	ISY1	DNA-Repair
KAT5	KAT5	DNA-Repair
KDM4A	KDM4A	DNA-Repair
KDM4B	KDM4B	DNA-Repair
KPNA2	KPNA2	DNA-Repair
LIG1	LIG1	DNA-Repair
LIG3	LIG3	DNA-Repair
LIG4	LIG4	DNA-Repair
MAD2L2	MAD2L2	DNA-Repair
MAPK8	MAPK8	DNA-Repair
MBD4	MBD4	DNA-Repair
MCRS1	MCRS1	DNA-Repair
MDC1	MDC1	DNA-Repair
MGMT	MGMT	DNA-Repair
MLH1	MLH1	DNA-Repair
MNAT1	MNAT1	DNA-Repair
MPG	MPG	DNA-Repair
MSH2	MSH2	DNA-Repair
MSH3	MSH3	DNA-Repair
MSH6	MSH6	DNA-Repair
MUS81	MUS81	DNA-Repair
MUTYH	MUTYH	DNA-Repair
NBN	NBN	DNA-Repair
NEIL1	NEIL1	DNA-Repair
NEIL2	NEIL2	DNA-Repair
NEIL3	NEIL3	DNA-Repair
NFRKB	NFRKB	DNA-Repair
NHEJ1	NHEJ1	DNA-Repair
NPLOC4	NPLOC4	DNA-Repair
NTHL1	NTHL1	DNA-Repair
OGG1	OGG1	DNA-Repair
PALB2	PALB2	DNA-Repair
PARG	PARG	DNA-Repair
PARP1	PARP1	DNA-Repair
PARP2	PARP2	DNA-Repair
PAXIP1	PAXIP1	DNA-Repair
PCLAF	KIAA0101	DNA-Repair
PCNA	PCNA	DNA-Repair
PIAS1	PIAS1	DNA-Repair
PIAS3	PIAS3	DNA-Repair
PIAS4	PIAS4	DNA-Repair
PMS2	PMS2	DNA-Repair
PNKP	PNKP	DNA-Repair
POLB	POLB	DNA-Repair
POLD1	POLD1	DNA-Repair
POLD2	POLD2	DNA-Repair
POLD3	POLD3	DNA-Repair
POLD4	POLD4	DNA-Repair
POLE	POLE	DNA-Repair
POLE2	POLE2	DNA-Repair
POLE3	POLE3	DNA-Repair
POLE4	POLE4	DNA-Repair
POLH	POLH	DNA-Repair
POLI	POLI	DNA-Repair
POLK	POLK	DNA-Repair
POLL	POLL	DNA-Repair
POLM	POLM	DNA-Repair
POLN	POLN	DNA-Repair
POLQ	POLQ	DNA-Repair
POLR2A	POLR2A	DNA-Repair
POLR2B	POLR2B	DNA-Repair
POLR2C	POLR2C	DNA-Repair
POLR2D	POLR2D	DNA-Repair
POLR2E	POLR2E	DNA-Repair
POLR2F	POLR2F	DNA-Repair
POLR2G	POLR2G	DNA-Repair
POLR2H	POLR2H	DNA-Repair
POLR2I	POLR2I	DNA-Repair
POLR2J	POLR2J	DNA-Repair
POLR2K	POLR2K	DNA-Repair
POLR2L	POLR2L	DNA-Repair
POT1	POT1	DNA-Repair
PPIE	PPIE	DNA-Repair
PPP4C	PPP4C	DNA-Repair
PPP4R2	PPP4R2	DNA-Repair
PPP5C	PPP5C	DNA-Repair
PRKDC	PRKDC	DNA-Repair
PRPF19	PRPF19	DNA-Repair
RAD1	RAD1	DNA-Repair
RAD17	RAD17	DNA-Repair
RAD18	RAD18	DNA-Repair
RAD23A	RAD23A	DNA-Repair
RAD23B	RAD23B	DNA-Repair
RAD50	RAD50	DNA-Repair
RAD51	RAD51	DNA-Repair
RAD51AP1	RAD51AP1	DNA-Repair
RAD51B	RAD51B	DNA-Repair
RAD51C	RAD51C	DNA-Repair
RAD51D	RAD51D	DNA-Repair
RAD52	RAD52	DNA-Repair
RAD9A	RAD9A	DNA-Repair
RAD9B	RAD9B	DNA-Repair
RBBP8	RBBP8	DNA-Repair
RBX1	RBX1	DNA-Repair
RCHY1	RCHY1	DNA-Repair
REV1	REV1	DNA-Repair
REV3L	REV3L	DNA-Repair
RFC1	RFC1	DNA-Repair
RFC2	RFC2	DNA-Repair
RFC3	RFC3	DNA-Repair
RFC4	RFC4	DNA-Repair
RFC5	RFC5	DNA-Repair
RHNO1	RHNO1	DNA-Repair
RIF1	RIF1	DNA-Repair
RMI1	RMI1	DNA-Repair
RMI2	RMI2	DNA-Repair
RNF111	RNF111	DNA-Repair
RNF168	RNF168	DNA-Repair
RNF4	RNF4	DNA-Repair
RNF8	RNF8	DNA-Repair
RPA1	RPA1	DNA-Repair
RPA2	RPA2	DNA-Repair
RPA3	RPA3	DNA-Repair
RPS27A	RPS27A	DNA-Repair
RTEL1	RTEL1	DNA-Repair
RUVBL1	RUVBL1	DNA-Repair
SIRT6	SIRT6	DNA-Repair
SLX1A	SLX1A	DNA-Repair
SLX4	SLX4	DNA-Repair
SMARCA5	SMARCA5	DNA-Repair
SMUG1	SMUG1	DNA-Repair
SPIDR	SPIDR	DNA-Repair
SPRTN	SPRTN	DNA-Repair
SUMO1	SUMO1	DNA-Repair
SUMO2	SUMO2	DNA-Repair
SUMO3	SUMO3	DNA-Repair
TCEA1	TCEA1	DNA-Repair
TDG	TDG	DNA-Repair
TDP1	TDP1	DNA-Repair
TDP2	TDP2	DNA-Repair
TERF1	TERF1	DNA-Repair
TERF2	TERF2	DNA-Repair
TERF2IP	TERF2IP	DNA-Repair
TFPT	TFPT	DNA-Repair
TIMELESS	TIMELESS	DNA-Repair
TINF2	TINF2	DNA-Repair
TIPIN	TIPIN	DNA-Repair
TOP3A	TOP3A	DNA-Repair
TOPBP1	TOPBP1	DNA-Repair
TP53	TP53	DNA-Repair
TP53BP1	TP53BP1	DNA-Repair
TRIM25	TRIM25	DNA-Repair
UBA52	UBA52	DNA-Repair
UBA7	UBA7	DNA-Repair
UBB	UBB	DNA-Repair
UBC	UBC	DNA-Repair
UBE2B	UBE2B	DNA-Repair
UBE2I	UBE2I	DNA-Repair
UBE2L6	UBE2L6	DNA-Repair
UBE2N	UBE2N	DNA-Repair
UBE2T	UBE2T	DNA-Repair
UBE2V2	UBE2V2	DNA-Repair
UFD1	UFD1L	DNA-Repair
UIMC1	UIMC1	DNA-Repair
UNG	UNG	DNA-Repair
USP1	USP1	DNA-Repair
USP10	USP10	DNA-Repair
USP43	USP43	DNA-Repair
USP45	USP45	DNA-Repair
USP7	USP7	DNA-Repair
UVSSA	UVSSA	DNA-Repair
VCP	VCP	DNA-Repair
WDR48	WDR48	DNA-Repair
WRN	WRN	DNA-Repair
XAB2	XAB2	DNA-Repair
XPA	XPA	DNA-Repair
XPC	XPC	DNA-Repair
XRCC1	XRCC1	DNA-Repair
XRCC2	XRCC2	DNA-Repair
XRCC3	XRCC3	DNA-Repair
XRCC4	XRCC4	DNA-Repair
XRCC5	XRCC5	DNA-Repair
XRCC6	XRCC6	DNA-Repair
YY1	YY1	DNA-Repair
ZNF830	ZNF830	DNA-Repair
ANAPC1	ANAPC1	DNA-Replication
ANAPC10	ANAPC10	DNA-Replication
ANAPC11	ANAPC11	DNA-Replication
ANAPC15	ANAPC15	DNA-Replication
ANAPC16	ANAPC16	DNA-Replication
ANAPC2	ANAPC2	DNA-Replication
ANAPC4	ANAPC4	DNA-Replication
ANAPC5	ANAPC5	DNA-Replication
ANAPC7	ANAPC7	DNA-Replication
CCNA1	CCNA1	DNA-Replication
CCNA2	CCNA2	DNA-Replication
CCNE1	CCNE1	DNA-Replication
CCNE2	CCNE2	DNA-Replication
CDC16	CDC16	DNA-Replication
CDC23	CDC23	DNA-Replication
CDC26	CDC26	DNA-Replication
CDC27	CDC27	DNA-Replication
CDC45	CDC45	DNA-Replication
CDC6	CDC6	DNA-Replication
CDC7	CDC7	DNA-Replication
CDK2	CDK2	DNA-Replication
CDT1	CDT1	DNA-Replication
CUL1	CUL1	DNA-Replication
DBF4	DBF4	DNA-Replication
DNA2	DNA2	DNA-Replication
E2F1	E2F1	DNA-Replication
E2F2	E2F2	DNA-Replication
E2F3	E2F3	DNA-Replication
FEN1	FEN1	DNA-Replication
FZR1	FZR1	DNA-Replication
GINS1	GINS1	DNA-Replication
GINS2	GINS2	DNA-Replication
GINS3	GINS3	DNA-Replication
GINS4	GINS4	DNA-Replication
GMNN	GMNN	DNA-Replication
LIG1	LIG1	DNA-Replication
MCM10	MCM10	DNA-Replication
MCM2	MCM2	DNA-Replication
MCM3	MCM3	DNA-Replication
MCM4	MCM4	DNA-Replication
MCM5	MCM5	DNA-Replication
MCM6	MCM6	DNA-Replication
MCM7	MCM7	DNA-Replication
MCM8	MCM8	DNA-Replication
ORC1	ORC1	DNA-Replication
ORC2	ORC2	DNA-Replication
ORC3	ORC3	DNA-Replication
ORC4	ORC4	DNA-Replication
ORC5	ORC5	DNA-Replication
ORC6	ORC6	DNA-Replication
PCNA	PCNA	DNA-Replication
POLA1	POLA1	DNA-Replication
POLA2	POLA2	DNA-Replication
POLD1	POLD1	DNA-Replication
POLD2	POLD2	DNA-Replication
POLD3	POLD3	DNA-Replication
POLD4	POLD4	DNA-Replication
POLE	POLE	DNA-Replication
POLE2	POLE2	DNA-Replication
POLE3	POLE3	DNA-Replication
POLE4	POLE4	DNA-Replication
PRIM1	PRIM1	DNA-Replication
PRIM2	PRIM2	DNA-Replication
PSMA1	PSMA1	DNA-Replication
PSMA2	PSMA2	DNA-Replication
PSMA3	PSMA3	DNA-Replication
PSMA4	PSMA4	DNA-Replication
PSMA5	PSMA5	DNA-Replication
PSMA6	PSMA6	DNA-Replication
PSMA7	PSMA7	DNA-Replication
PSMA8	PSMA8	DNA-Replication
PSMB1	PSMB1	DNA-Replication
PSMB10	PSMB10	DNA-Replication
PSMB11	PSMB11	DNA-Replication
PSMB2	PSMB2	DNA-Replication
PSMB3	PSMB3	DNA-Replication
PSMB4	PSMB4	DNA-Replication
PSMB5	PSMB5	DNA-Replication
PSMB6	PSMB6	DNA-Replication
PSMB7	PSMB7	DNA-Replication
PSMB8	PSMB8	DNA-Replication
PSMB9	PSMB9	DNA-Replication
PSMC1	PSMC1	DNA-Replication
PSMC2	PSMC2	DNA-Replication
PSMC3	PSMC3	DNA-Replication
PSMC4	PSMC4	DNA-Replication
PSMC5	PSMC5	DNA-Replication
PSMC6	PSMC6	DNA-Replication
PSMD1	PSMD1	DNA-Replication
PSMD10	PSMD10	DNA-Replication
PSMD11	PSMD11	DNA-Replication
PSMD12	PSMD12	DNA-Replication
PSMD13	PSMD13	DNA-Replication
PSMD14	PSMD14	DNA-Replication
PSMD2	PSMD2	DNA-Replication
PSMD3	PSMD3	DNA-Replication
PSMD4	PSMD4	DNA-Replication
PSMD5	PSMD5	DNA-Replication
PSMD6	PSMD6	DNA-Replication
PSMD7	PSMD7	DNA-Replication
PSMD8	PSMD8	DNA-Replication
PSMD9	PSMD9	DNA-Replication
PSME1	PSME1	DNA-Replication
PSME2	PSME2	DNA-Replication
PSME3	PSME3	DNA-Replication
PSME4	PSME4	DNA-Replication
PSMF1	PSMF1	DNA-Replication
RBX1	RBX1	DNA-Replication
RFC1	RFC1	DNA-Replication
RFC2	RFC2	DNA-Replication
RFC3	RFC3	DNA-Replication
RFC4	RFC4	DNA-Replication
RFC5	RFC5	DNA-Replication
RPA1	RPA1	DNA-Replication
RPA2	RPA2	DNA-Replication
RPA3	RPA3	DNA-Replication
RPA4	RPA4	DNA-Replication
RPS27A	RPS27A	DNA-Replication
SKP1	SKP1	DNA-Replication
SKP2	SKP2	DNA-Replication
UBA52	UBA52	DNA-Replication
UBB	UBB	DNA-Replication
UBC	UBC	DNA-Replication
UBE2C	UBE2C	DNA-Replication
UBE2D1	UBE2D1	DNA-Replication
UBE2E1	UBE2E1	DNA-Replication
