CX1	CX2	CX3	CX4	CX5	CX6	CX7	CX8	CX9	CX10	CX11	CX12	CX13	CX14	CX15	CX16	CX17
TCGA-02-2486	5.341	23.74	0	0	1.255	0.9837	6.466	0	3.867	0	3.116	0	4.526	0	0	0	0
TCGA-04-1331	3.296	0	43.52	25.42	1.827	3.28	5.17	7.127	2.596	0	0	0	0	0	0	1.164	0
TCGA-04-1332	3.382	32.8	35.8	16.28	5.07	2.091	5.67	0	14.9	0	0	0	0.421	0	4.15	0	0
TCGA-04-1335	4.282	16.36	22.75	0	0	0	0	1.618	0	0	0	0.3143	0	0	0	0	0
TCGA-04-1336	3.471	0	38.41	44.85	1.965	2.704	0	0	0	2.33	0	1.043	0	0	0	0	0
TCGA-04-1337	5.042	10.1	8.49	19.47	0	5.042	0	0	0	0	0	0	0	0	0	0	0
TCGA-04-1338	0	111.8	92.11	0	8.212	0	0	0	0	0	0	0	0	0	0	10.31	0
TCGA-04-1341	2.964	39.19	39.88	16.57	12.33	0	4.656	10.4	15.67	0	3.346	0.1895	4.534	3.127	0	0	0
TCGA-04-1342	3.311	55.69	35.01	1.76	9.066	0	9.998	0	11.52	0	0.3488	0.4204	0	5.624	0	0	0
TCGA-04-1343	3.732	33.54	28.32	7.593	3.308	3.276	5.977	7.914	0	0	0.6186	0	0	0	6.718	0	0
TCGA-04-1346	3.274	35.12	39.31	13.71	2.764	1.972	1.177	0	10.81	0	0	0	0	0	0	0	0
TCGA-04-1347	1.601	26.27	71.08	17.72	11.43	0	4.718	12.54	10.56	0	0	0	0	0	0	0	8.913
TCGA-04-1348	0.8107	192.5	54.99	0	14.79	0	10.48	0	0	49.49	1.659	0	0	0	0	0	0
TCGA-04-1349	3.54	0	37.81	20.21	4.673	3.255	15.21	2.51	6.16	0	0.3262	0.1043	0	0	0	0	0
TCGA-04-1350	4.571	31.28	12.58	7.779	1.382	3.105	0	4.174	1.94	0	0.6387	0	0	0	5.686	0	0
TCGA-04-1351	2.911	54.31	40.84	27.21	14.92	2.689	11.37	5.524	5.191	0	0	0.1455	0	0	0	0	0
TCGA-04-1353	2.961	33.64	39.38	0	1.561	0	4.314	0	1.824	0	0	1.102	0	2.315	32.62	0	0
TCGA-04-1356	1.581	17.26	67.3	68.79	9.944	0	2.71	0	0	15.01	0	0.914	0.4086	0	0	1.626	8.45
TCGA-04-1357	2.198	35.15	63.75	1.832	0.7131	1.6	0	8.582	0	0	0	0	0	0	0	0	0
TCGA-04-1360	1.823	52.31	67.73	2.435	1.565	0	4.422	0	5.876	0	0.4387	0.3304	0	0	0	1.729	0
TCGA-04-1361	2.077	35.31	59.92	6.277	6.52	0	3.528	0	0	0	0	0	0	0.631	3.495	3.809	0
TCGA-04-1362	0.4701	46.51	90.51	14.32	12.28	0	14.87	6.621	0	0	0	0	0	0	4.111	4.701	0
TCGA-04-1365	2.979	56.62	40.12	2.922	6.308	0	4.321	0	2.622	9.487	0.6542	0.7094	0	0	0	0	0
TCGA-04-1367	4.118	20.72	24.87	0	1.229	1.022	4.988	0	3.837	0	0.2887	1.784	0	0	0	0	0
TCGA-04-1369	0.7003	192.8	0	161.7	106.7	0	4.755	47.08	0	0	0	0	0	0	74.87	35.06	0
TCGA-04-1371	2.251	31.09	52.75	22.45	22.94	1.748	39.81	6.643	0	0	0	0	0	0	0	0	0
TCGA-04-1514	3.303	26.81	33.12	13.59	14.38	0	13.91	0	20.59	16.57	0	0	0	14.17	0	0	0
TCGA-04-1516	1.412	69.35	65.1	0	3.661	0	3.124	0	0	0	0	0	0	0	22.48	1.158	18.45
TCGA-04-1517	1.998	25.4	60.2	42.19	8.007	0.6404	14.66	5.301	3.936	43.26	0	0	0	0	0	0	0
TCGA-04-1519	4.699	13.53	10.81	2.922	1.998	0	0	0	0	0	0	0	0	2.409	11.72	0	0
TCGA-04-1525	2.956	62.34	40.74	13.49	10.22	2.666	19.43	0	8.381	0	0	0	0	0	0	0	0
TCGA-04-1530	0.3976	14.42	98.65	20.73	12.01	0	14.84	13.32	1.639	0	0	0.2449	0	0	0	0	0
TCGA-04-1536	1.283	78.25	66.26	23.32	8.346	0	0	0	0	0	0	0	0	0	22.25	3.884	0
TCGA-04-1542	1.656	32.09	67.39	19.53	15.17	0.7652	27.7	0	10.63	0	0.4122	0	0	2.345	0	4.382	0
TCGA-04-1638	3.876	2.484	28.43	24.02	3.481	2.297	3.763	3.752	3.969	2.715	0	0.3974	0	3.477	7.433	0	0
TCGA-04-1644	2.999	1.55	39.26	0	9.41	0	24.89	0.8841	0	0	1.272	0	0	4.176	24.75	0	0
TCGA-04-1646	4.16	3.791	20.19	47.77	7.085	2.97	2.635	15.09	0	15.63	0	0.4477	2.26	5.123	0	0	4.149
TCGA-04-1648	4.519	0	16.15	44.1	2.05	3.429	5.827	2.174	0	1.665	0	0	1.089	6.602	0	1.664	0
TCGA-04-1649	3.001	30.74	43.71	26.54	6.201	2.487	5.551	4.842	0	4.381	1.503	0	0	0	0	0	0
TCGA-04-1651	2.428	37.13	56.48	0	0	0	9.391	0	0	0	0.577	1.309	0	0	3.148	0	0
TCGA-04-1652	2.73	35.59	46.18	21.09	15.23	3.007	6.728	7.271	4.588	0	0	0	0	0	0	2.619	0
