Sample	Rearrangement Signature1	Rearrangement Signature2	Rearrangement Signature3	Rearrangement Signature4	Rearrangement Signature5	Rearrangement Signature6
PD18189	12	34	0	3	12	11
PD18247	1	0	0	0	1	0
PD18251	20	60	2	15	9	20
PD18257	1	23	2	7	3	15
PD18258	1	7	0	0	0	0
PD18259	2	33	0	0	39	4
PD18264	4	14	1	5	7	9
PD18269	0	2	0	0	0	0
PD18728	0	1	1	0	0	0
PD18730	0	4	0	8	0	8
PD18733	0	9	0	15	2	7
PD18734	4	2	1	153	4	154
PD18748	0	7	0	10	0	1
PD18749	0	1	0	0	1	0
PD18751	0	10	1	35	3	22
PD18754	0	6	0	8	5	2
PD18756	0	2	0	0	0	0
PD18768	0	2	0	0	0	0
PD18769	2	10	0	0	7	1
PD18771	0	1	0	5	0	2
PD18775	0	9	1	0	0	0
PD18776	0	0	0	6	1	6
PD22251	3	10	1	16	2	7
PD22355	50	19	337	0	67	1
PD22357	6	68	5	41	9	146
PD22358	5	11	0	2	30	13
PD22359	0	20	2	1	4	7
PD22360	7	48	42	0	53	5
PD22361	5	50	1	39	0	34
PD22362	3	57	1	62	0	36
PD22363	10	41	2	0	72	7
PD22364	6	11	3	2	2	16
PD22365	6	27	0	1	2	11
PD22366	30	80	81	3	57	11
PD23550	1	16	4	133	3	113
PD23554	5	8	95	0	22	1
PD23558	0	64	2	1	63	18
PD23559	33	7	0	0	40	4
PD23560	1	55	0	1	7	12
PD23561	0	6	1	7	6	55
PD23562	19	41	110	5	37	9
PD23563	32	68	49	0	60	7
PD23564	2	1	1	0	5	0
PD23565	7	74	3	26	23	42
PD23566	41	52	99	0	67	6
PD23567	5	36	145	5	34	30
PD23569	4	12	2	0	3	1
PD23570	0	13	0	9	1	4
PD23574	30	59	118	8	100	10
PD23577	47	17	101	0	31	2
PD23578	39	23	125	0	31	1
PD23579	3	2	0	0	3	1
PD24182	5	53	90	2	39	6
PD24186	6	39	9	0	53	6
PD24189	0	2	2	0	4	0
PD24190	29	33	12	55	16	81
PD24191	3	21	2	0	28	3
PD24192	1	88	3	0	121	12
PD24193	0	2	0	0	0	0
PD24194	4	26	2	5	5	9
PD24195	9	1	0	0	4	0
PD24196	2	43	7	17	16	58
PD24197	9	42	209	0	53	5
PD24199	4	27	2	63	8	28
PD24200	1	6	33	0	6	1
PD24201	49	111	153	0	68	8
PD24202	41	8	216	1	22	4
PD24204	0	4	0	0	1	0
PD24205	0	47	1	0	32	4
PD24206	6	61	1	19	7	10
PD24207	6	86	3	135	7	110
PD24208	25	20	8	0	7	1
PD24209	21	3	2	8	4	36
PD24212	4	51	8	69	57	47
PD24214	2	19	1	87	8	96
PD24215	21	11	5	1	17	9
PD24216	39	3	0	0	15	1
PD24217	8	20	3	51	0	28
PD24218	1	14	1	9	6	64
PD24219	5	58	1	6	9	21
PD24220	2	15	3	109	11	243
PD24221	0	6	2	0	4	0
PD24223	1	8	0	0	2	1
PD24224	2	15	1	11	3	10
PD24225	0	5	0	8	2	16
PD24302	1	4	0	0	0	0
PD24303	8	2	147	0	8	0
PD24304	3	25	33	0	27	3
PD24306	15	4	82	0	6	0
PD24307	0	1	0	8	0	40
PD24308	22	69	1	45	21	62
PD24314	9	26	5	16	17	68
PD24318	10	12	1	19	17	35
PD24320	7	21	0	5	3	25
PD24322	26	35	2	5	4	26
PD24325	79	52	5	4	51	8
PD24326	4	12	1	7	2	35
PD24327	2	55	2	110	5	74
PD24329	2	56	0	13	2	21
PD24332	6	28	1	7	4	33
PD24333	5	24	7	0	12	2
PD24335	5	116	2	206	3	103
PD24336	4	22	0	46	1	7
PD24337	88	63	271	0	35	3
PD3851	0	3	0	14	1	14
PD3890	14	13	112	0	26	1
PD3904	14	41	4	8	55	39
PD3905	6	29	52	7	39	7
PD3945	11	16	2	0	68	6
PD3989	2	5	2	0	5	1
PD4005	26	28	101	0	26	2
PD4006	104	22	158	0	63	5
PD4069	0	2	0	0	1	0
PD4072	0	0	0	0	1	0
PD4076	0	0	0	0	2	0
PD4085	2	28	0	6	2	27
PD4086	12	12	5	0	19	2
PD4088	5	51	2	49	1	63
PD4103	12	162	4	302	32	101
PD4107	15	14	92	39	71	59
PD4109	44	53	0	0	75	9
PD4115	0	56	2	0	63	7
PD4116	4	80	5	18	92	56
PD4192	2	62	3	5	7	22
PD4194	0	0	0	3	1	19
PD4198	5	54	2	80	12	67
PD4199	8	30	1	13	12	22
PD4225	0	32	0	13	0	1
PD4248	15	38	2	14	12	59
PD4252	38	52	0	10	32	18
PD4255	66	117	8	66	37	17
PD4261	0	8	0	10	3	2
PD4264	0	15	1	36	1	18
PD4266	0	0	0	1	1	5
PD4315	15	56	6	69	5	56
PD4604	9	93	5	9	55	31
PD4605	4	42	2	15	4	31
PD4606	0	44	0	0	3	1
PD4607	1	4	0	10	0	2
PD4613	2	2	0	8	2	9
PD4826	18	69	2	101	10	92
PD4833	21	19	434	0	64	2
PD4836	7	15	5	6	43	5
PD4841	493	65	11	10	25	4
PD4844	19	80	11	0	95	11
PD4845	9	21	25	5	80	15
PD4847	97	24	12	17	36	67
PD4872	5	25	6	10	35	10
PD4874	6	107	9	23	63	14
PD4875	5	33	2	3	82	14
PD4876	7	43	0	0	41	4
PD4951	4	14	0	0	13	2
PD4952	20	93	3	33	138	47
PD4953	41	28	2	17	42	13
PD4954	12	16	2	2	77	18
PD4955	17	25	2	0	53	5
PD4956	80	28	20	0	99	9
PD4957	4	27	0	1	30	12
PD4958	2	41	4	0	50	6
PD4959	6	15	0	11	51	20
PD4962	10	43	2	12	5	14
PD4965	1	6	0	21	2	3
PD4967	0	1	0	1	1	6
PD4968	8	22	2	123	24	35
PD4969	1	7	0	2	0	8
PD4970	5	1	0	4	2	19
PD4971	4	197	4	134	1	44
PD4975	0	17	1	0	52	5
PD4976	3	74	2	4	0	34
PD4977	1	3	0	0	10	1
PD4978	7	38	4	278	3	227
PD4980	41	20	3	2	7	15
PD4981	0	2	0	0	0	0
PD4985	0	2	0	0	0	0
PD4986	0	5	0	0	4	0
PD5925	1	30	15	5	37	4
PD5928	2	27	1	0	46	4
