"signature"	"gene"	"rho"	"p.value"	"q.value"
"CX5"	"BRIP1"	"0.180796011262587"	"2.89432411544142e-39"	5.66460576879249e-38
"CX5"	"RFC4"	"0.179331523834718"	"1.19455140968995e-38"	2.18204724170031e-37
"CX5"	"CCNH"	"-0.177112427594232"	"1.00007800173328e-37"	1.71263357796824e-36
"CX5"	"CLSPN"	"0.176025325408029"	"2.80348967921259e-37"	4.51856571826029e-36
"CX5"	"TIMELESS"	"0.174218187086022"	"1.53271030183764e-36"	2.33312568168619e-35
"CX5"	"MSH2"	"0.173689352754412"	"2.51097954290079e-36"	3.62109681449903e-35
"CX5"	"TOPBP1"	"0.172296280258316"	"9.14754105203948e-36"	1.25321312412941e-34
"CX5"	"RAD1"	"0.16307557317659"	"3.61764738312056e-32"	4.7201684903573e-31
"CX5"	"MDC1"	"0.159617324269922"	"7.15178977563805e-31"	8.90722908420375e-30
"CX5"	"GEN1"	"0.15709336740407"	"6.05454277087136e-30"	7.21280312703806e-29
"CX5"	"NSD2"	"0.156890901885734"	"7.1751792134029e-30"	8.19166293530164e-29
"CX5"	"DNA2"	"0.154404185664498"	"5.67066973562715e-29"	6.21505403024736e-28
"CX5"	"UBE2T"	"0.152645600050427"	"2.39665788435066e-28"	2.525708693508e-27
"CX5"	"BRCA2"	"0.151052934756212"	"8.71234235512926e-28"	8.84141409372377e-27
"CX5"	"CDK2"	"0.149150904228892"	"3.99583797507184e-27"	3.82617678842943e-26
"CX5"	"RAD51C"	"0.149134102878965"	"4.04960317023553e-27"	3.82617678842943e-26
"CX5"	"CHEK2"	"0.147914162729173"	"1.06435177477018e-26"	9.72107954290098e-26
"CX5"	"POLK"	"-0.145624532783208"	"6.38532162187169e-26"	5.64380040126723e-25
"CX5"	"XRCC2"	"0.144369940137911"	"1.68366690515447e-25"	1.44163978753852e-24
"CX5"	"FANCB"	"0.146831601260132"	"5.78426709422418e-25"	4.80269449641644e-24
"CX5"	"NEIL3"	"0.142007616925539"	"1.0208992885648e-24"	8.22724720784574e-24
"CX5"	"DDB2"	"-0.141623917338517"	"1.36417336713897e-24"	1.06795286456022e-23
"CX5"	"RFC3"	"0.140947152695218"	"2.27016892021794e-24"	1.72785078927699e-23
"CX5"	"BRCA1"	"0.140418015487719"	"3.37476178492754e-24"	2.4991479164058e-23
"CX5"	"PRKDC"	"0.139570846510885"	"6.34659177885372e-24"	4.57622670369979e-23
"CX5"	"MPG"	"-0.138130859323131"	"1.84032548486321e-23"	1.29294662269877e-22
"CX5"	"YY1"	"0.13735623803447"	"3.24779886357488e-23"	2.22474222154879e-22
"CX5"	"POLR2D"	"0.133931692396071"	"3.8484381994865e-22"	2.57188308941293e-21
"CX5"	"PARP2"	"0.13271887930849"	"9.09765541038459e-22"	5.93513710106042e-21
"CX5"	"XPA"	"-0.132015816497301"	"1.49262315696014e-21"	9.51113360481578e-21
"CX5"	"MAD2L2"	"0.131359726391016"	"2.36352398911478e-21"	1.47183084776693e-20
"CX5"	"UBE2V2"	"0.131186196484237"	"2.66800345957021e-21"	1.62451766204942e-20
"CX5"	"RAD18"	"0.129618701414547"	"7.91345446381207e-21"	4.71366635453154e-20
"CX5"	"RNF168"	"0.129119148129969"	"1.11593738655299e-20"	6.50567753011743e-20
